id,comment_count,favorite_count,score
9556402,1,,0
9698133,1,,0
9752430,1,,0
9803385,1,,0
10010956,1,,0
10158082,1,,0
10057473,1,,2
10045661,1,,3
10000968,1,,5
9659841,2,,0
9731218,2,,0
9779726,2,,0
9793356,2,,0
9800373,2,,0
9834613,2,,0
9852147,2,,0
9886608,2,,0
9705280,2,,1
9717422,2,,1
9907668,2,,1
10113676,2,,1
9942472,2,,2
10180326,2,,2
9550527,2,,3
9920784,2,,3
9602941,2,,4
9937451,2,,7
9647502,2,,24
10169674,2,,35
9661814,3,,0
9693916,3,,0
9699285,3,,0
9588443,3,,1
9742461,3,,1
9821639,3,,1
9952903,3,,1
9985661,3,,1
9725527,3,,2
10035092,3,,2
9941582,3,,4
10110748,3,,5
9660578,3,,13
9767869,3,,31
10063391,4,,0
10116193,4,,0
9621603,4,,1
9900207,4,,1
10118384,4,,1
9882385,4,,2
10024813,4,,4
9847407,4,,5
10016043,4,,7
9610080,4,,12
9669666,4,,21
9722141,4,,31
10084408,4,,73
9925490,5,,0
9577293,5,,1
9681652,5,,1
10169070,5,,1
9618514,5,,2
10030479,5,,2
10141488,5,,2
10022065,5,,3
10116661,5,,4
10080221,5,,6
10133344,5,,7
10010055,5,,8
9979779,5,,652
9643065,6,,0
10091999,6,,0
9988014,6,,1
10065523,6,,1
9926795,6,,2
9915140,6,,5
10123276,7,,2
10092599,7,,4
9741973,7,,9
9710432,8,,1
10181804,8,,1
10173751,8,,2
9940053,8,,5
9587943,8,,28
9596223,8,,718
9605936,9,,0
9674307,9,,2
10126371,9,,5
10151026,9,,225
9743176,9,,227
9621747,11,,0
9722350,11,,0
9894431,11,,2
9763974,11,,6
9983581,11,,11
9974107,11,,409
9847107,12,,0
9559052,12,,2
10063110,12,,9
9599875,13,,31
10169597,14,,373
548683,2,,4
450663,1,,9
516180,28,,359
241921,1,,3
520339,12,,409
496335,12,,397
458919,7,,250
382322,6,,56
38365,7,,30
456823,5,,51
227745,2,,124
519146,1,,2
179450,9,,127
640466,4,,2
497869,20,,145
196117,5,,6
235067,19,,78
309193,5,,136
471661,10,,53
6322,1,,0
187298,6,,3
159294,2,,3
192416,3,,0
613251,6,,1
642257,16,,32
141231,2,,0
125336,5,,64
362846,2,,3
195613,4,,25
